what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1251029284446
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1251029284446
java.specification.version,sysinfo,,,"1.6",1251029284446
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1251029284446
java.version,sysinfo,,,"1.6.0_13",1251029284446
java.vm.info,sysinfo,,,"mixed mode",1251029284446
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1251029284446
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1251029284446
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1251029284446
java.vm.specification.version,sysinfo,,,"1.0",1251029284446
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1251029284446
java.vm.version,sysinfo,,,"11.3-b02",1251029284446
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1251029285538
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251029286084
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251029293766
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251029293900
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1251029304168
